بازیچۂ اطفال
ہے طوطئِ
طوطئِ آئینۂ
آئینۂ زانو
زانو مجھے
یادِ مژگاں
مژگاں بہ
بہ نشتر
نشتر زارِ
زارِ صحراۓ
صحراۓ خیال
چاہیے بہرِ
بہرِ تپش
تپش یک
یک دست
دست صد
صد پہلو
پہلو مجھے
خاکِ فرصت
فرصت برسرِ
برسرِ ذاقِ
ذاقِ فنا
فنا اے
اے انتظار
ہے غبارِ
غبارِ شیشۂ
شیشۂ ساعت
ساعت رمِ
رمِ آہو
آہو مجھے
اضطرابِ عمر
عمر بے
بے مطلب
مطلب نہیں
نہیں آخر
آخر کہ
کہ ہے
جستجوۓ فرصتِ
فرصتِ ربطِ
ربطِ سرِ
سرِ زانو
زانو مجھے
چاہیے درمانِ
درمانِ ریشِ
ریشِ دل
دل بھی
بھی تیغِ
تیغِ یار
یار سے
مرہمِ زنگار
زنگار ہے
ہے وہ
وہ وسمۂ
وسمۂ ابرو
ابرو مجھے
کثرتِ جور
جور ستم
ستم سے
سے ہو
ہو گیا
گیا ہوں
ہوں بے
بے دماغ
خوبرویوں نے
نے بنایا
بنایا ہے
ہے اسد
اسد بد
بد خو
خو مجھے
یہ نہ
نہ تھی
تھی ہماری
ہماری قسمت
قسمت کہ
کہ وصالِ
وصالِ یار
یار ہوتا
اگر اور
اور جیتے
جیتے رہتے
رہتے یہی
یہی انتظار
انتظار ہوتا
ترے وعدے
وعدے پر
پر جیے
جیے ہم
ہم تو
تو یہ
یہ جان
جان جُھوٹ
جُھوٹ جانا
کہ خوشی
خوشی سے
سے مر
مر نہ
نہ جاتے
جاتے اگر
اگر اعتبار
اعتبار ہوتا
تری نازکی
نازکی سے
سے جانا
جانا کہ
کہ بندھا
بندھا تھا
تھا عہد
عہد بودا
کبھی تو
تو نہ
نہ توڑ
توڑ سکتا
سکتا اگر
اگر استوار
استوار ہوتا
کوئی میرے
میرے دل
دل سے
سے پوچھے
پوچھے ترے
ترے تیرِ
تیرِ نیم
نیم کش
کش کو
یہ خلش
خلش کہاں
کہاں سے
سے ہوتی
ہوتی جو
جو جگر
جگر کے
کے پار
پار ہوتا
یہ کہاں
کہاں کی
کی دوستی
دوستی ہے
ہے کہ
کہ بنے
بنے ہیں
ہیں دوست
دوست ناصح
کوئی چارہ
چارہ ساز
ساز ہوتا
ہوتا کوئی
کوئی غم
غم گسار
گسار ہوتا
رگِ سنگ
سنگ سے
سے ٹپکتا
ٹپکتا وہ
وہ لہو
لہو کہ
کہ پھر
پھر نہ
نہ تھمتا
جسے غم
غم سمجھ
سمجھ رہے
رہے ہو
ہو یہ
یہ اگر
اگر شرار
شرار ہوتا
غم اگرچہ
اگرچہ جاں
جاں گسل
گسل ہے
ہے پہ
پہ کہاں
کہاں بچیں
بچیں کہ
کہ دل
دل ہے
غمِ عشق
عشق اگر
اگر نہ
نہ ہوتا
ہوتا غمِ
غمِ روزگار
روزگار ہوتا
کہوں کس
کس سے
سے میں
میں کہ
کہ کیا
کیا ہے
ہے شبِ
شبِ غم
غم بری
بری بلا
بلا ہے
مجھے کیا
کیا برا
برا تھا
تھا مرنا
مرنا اگر
اگر ایک
ایک بار
بار ہوتا
ہوئے مر
مر کے
کے ہم
ہم جو
جو رسوا
رسوا ہوئے
ہوئے کیوں
کیوں نہ
نہ غرقِ
غرقِ دریا
نہ کبھی
کبھی جنازہ
جنازہ اٹھتا
اٹھتا نہ
نہ کہیں
کہیں مزار
مزار ہوتا
اسے کون
کون دیکھ
دیکھ سکتا
سکتا کہ
کہ یگانہ
یگانہ ہے
ہے وہ
وہ یکتا
جو دوئی
دوئی کی
کی بُو
بُو بھی
بھی ہوتی
ہوتی تو
تو کہیں
کہیں دو
دو چار
چار ہوتا
یہ مسائلِ
مسائلِ تصوّف
تصوّف یہ
یہ ترا
ترا بیان
بیان غالب
تجھے ہم
ہم ولی
ولی سمجھتے
سمجھتے جو
جو نہ
نہ بادہ
بادہ خوار
خوار ہوتا
دل ہی
ہی تو
تو ہے
ہے نہ
نہ سنگ
سنگ خشت
خشت درد
درد سے
سے بھر
بھر نہ
نہ آئے
آئے کیوں
روئیں گے
گے ہم
ہم ہزار
ہزار بار
بار کوئی
کوئی ہمیں
ہمیں ستائے
ستائے کیوں
دیر نہیں
نہیں حرم
حرم نہیں
نہیں در
در نہیں
نہیں آستاں
آستاں نہیں
بیٹھے ہیں
ہیں رہگزر
رہگزر پہ
پہ ہم
ہم غیر
غیر ہمیں
ہمیں اٹھائے
اٹھائے کیوں
جب وہ
وہ جمالِ
جمالِ دلفروز
دلفروز صورتِ
صورتِ مہرِ
مہرِ نیمروز
آپ ہی
ہی ہو
ہو نظارہ
نظارہ سوز
سوز پردے
پردے میں
میں منہ
منہ چھپائے
چھپائے کیوں
دشنۂ غمزہ
غمزہ جاں
جاں ستاں
ستاں ناوکِ
ناوکِ ناز
ناز بے
بے پناہ
تیرا ہی
ہی عکسِ
عکسِ رخ
رخ سہی
سہی سامنے
سامنے تیرے
تیرے آئے
آئے کیوں
قیدِ حیات
حیات بندِ
بندِ غم
غم اصل
اصل میں
میں دونوں
دونوں ایک
ایک ہیں
موت سے
سے پہلے
پہلے آدمی
آدمی غم
غم سے
سے نجات
نجات پائے
پائے کیوں
حسن اور
اور اس
اس پہ
پہ حسنِ
حسنِ ظن
ظن رہ
رہ گئی
گئی بو
بو الہوس
الہوس کی
کی شرم
اپنے پہ
پہ اعتماد
اعتماد ہے
ہے غیر
غیر کو
کو آزمائے
آزمائے کیوں
واں وہ
وہ غرورِ
غرورِ عز
عز ناز
ناز یاں
یاں یہ
یہ حجابِ
حجابِ پاس
پاس وضع
راہ میں
میں ہم
ہم ملیں
ملیں کہاں
کہاں بزم
بزم میں
میں وہ
وہ بلائے
بلائے کیوں
ہاں وہ
وہ نہیں
نہیں خدا
خدا پرست
پرست جاؤ
جاؤ وہ
وہ بیوفا
بیوفا سہی
جس کو
کو ہو
ہو دین
دین دل
دل عزیز
عزیز اس
اس کی
کی گلی
گلی میں
میں جائے
جائے کیوں
غالبؔ خستہ
خستہ کے
کے بغیر
بغیر کون
کون سے
سے کام
کام بند
بند ہیں
روئیے زار
زار زار
زار کیا
کیا کیجیے
کیجیے ہائے
ہائے ہائے
ہائے کیوں
کوئی امّید
امّید بر
بر نہیں
نہیں آتی
کوئی صورت
صورت نظر
نظر نہیں
نہیں آتی
موت کا
کا ایک
ایک دن
دن معین
معین ھے
نیند کیوں
کیوں رات
رات بھر
بھر نہیں
نہیں آتی
آگے آتی
آتی تھی
تھی حال
حال دل
دل پہ
پہ ہنسی
اب کسی
کسی بات
بات پر
پر نہیں
نہیں آتی
جانتا ہوں
ہوں ثوابِ
ثوابِ طاعت
طاعت زہد
پر طبعیت
طبعیت ادھر
ادھر نہیں
نہیں آتی
ہے کچھ
کچھ ایسی
ایسی ہی
ہی بات
بات جو
جو چپ
چپ ہوں
ورنہ کیا
کیا بات
بات کر
کر نہیں
نہیں آتی
کیوں نہ
نہ چیخوں
چیخوں کہ
کہ یاد
یاد کرتے
کرتے ہیں
میری آواز
آواز گر
گر نہیں
نہیں آتی
داغِ دل
دل گر
گر نظر
نظر نہیں
نہیں آتا
بو بھی
بھی اے
اے چارہ
چارہ گر
گر نہیں
نہیں آتی
ہم وہاں
وہاں ہیں
ہیں جہاں
جہاں سے
سے ہم
ہم کو
کو بھی
کچھ ہماری
ہماری خبر
خبر نہیں
نہیں آتی
مرتے ہیں
ہیں آرزو
آرزو میں
میں مرنے
مرنے کی
موت آتی
آتی ہے
ہے پر
پر نہیں
نہیں آتی
کعبہ کس
کس منہ
منہ سے
سے جاؤ
جاؤ گے
گے غالبؔ
شرم تم
تم کو
کو مگر
مگر نہیں
نہیں آتی
عرضِ نیازِ
نیازِ عشق
عشق کے
کے قابل
قابل نہیں
نہیں رہا
جس دل
دل پہ
پہ ناز
ناز تھا
تھا مجھے
مجھے وہ
وہ دل
دل نہیں
نہیں رہا
جاتا ہوں
ہوں داغِ
داغِ حسرتِ
حسرتِ ہستی
ہستی لئے
لئے ہوئے
ہوں شمعِ
شمعِ کشتہ
کشتہ در
در خورِ
خورِ محفل
محفل نہیں
نہیں رہا
مرنے کی
کی اے
اے دل
دل اور
اور ہی
ہی تدبیر
تدبیر کر
کر کہ
کہ میں
شایانِ دست
دست بازوےٴ
بازوےٴ قاتل
قاتل نہیں
نہیں رہا
بر روئے
روئے شش
شش جہت
جہت در
در آئینہ
آئینہ باز
باز ہے
یاں امتیازِ
امتیازِ ناقص
ناقص کامل
کامل نہیں
نہیں رہا
وا کر
کر دیئے
دیئے ہیں
ہیں شوق
شوق نے
نے بندِ
بندِ نقابِ
نقابِ حسن
غیر از
از نگاہ
نگاہ اب
اب کوئی
کوئی حائل
حائل نہیں
نہیں رہا
گو میں
میں رہا
رہا رہینِ
رہینِ ستمہائے
ستمہائے روزگار
لیکن ترے
ترے خیال
خیال سے
سے غافل
غافل نہیں
نہیں رہا
دل سے
سے ہواے
ہواے کشتِ
کشتِ وفا
وفا مٹ
مٹ گئی
گئی کہ
کہ واں
حاصل سوائے
سوائے حسرتِ
حسرتِ حاصل
حاصل نہیں
نہیں رہا
بیدادِ عشق
عشق سے
سے نہیں
نہیں ڈرتا
ڈرتا مگر
مگر اسد
جس دل
دل پہ
پہ ناز
ناز تھا
تھا مجھے
مجھے وہ
وہ دل
دل نہیںرہا
دھمکی میں
میں مرگیا
مرگیا جو
جو نہ
نہ بابِ
بابِ نبرد
نبرد تھا
عشقِ نبرد
نبرد پیشہ
پیشہ طلبگارِ
طلبگارِ مرد
مرد تھا
تھا زندگی
زندگی میں
میں مرگ
مرگ کا
کا کھٹکا
کھٹکا لگا
لگا ہوا
اڑنے سے
سے پیشتر
پیشتر بھی
بھی مِرا
مِرا رنگ
رنگ زرد
زرد تھا
تالیف نسخہ
نسخہ ہائے
ہائے وفا
وفا کر
کر رہا
رہا تھا
تھا میں
مجموعہٴ خیال
خیال ابھی
ابھی فرد
فرد فرد
فرد تھا
دل تا
تا جگر
جگر کہ
کہ ساحل
ساحل دریائے
دریائے خوں
خوں ہے
ہے اب
اس رہگزر
رہگزر میں
میں جلوہٴ
جلوہٴ گل
گل آگے
آگے گرد
گرد تھا
جاتی ہے
ہے کوئی
کوئی کشمکش
کشمکش اندوہِ
اندوہِ عشق
عشق کی
دل بھی
بھی اگر
اگر گیا
گیا تو
تو وہی
وہی دل
دل کا
کا درد
درد تھا
احباب چارہ
چارہ سازیٴ
سازیٴ وحشت
وحشت نہ
نہ کرسکے
زنداں میں
میں بھی
بھی خیال
خیال بیاباں
بیاباں نورد
نورد تھا
یہ لاشِ
لاشِ بے
بے کفن
کفن اسدِ
اسدِ خستہ
خستہ جاں
جاں کی
کی ہے
حق مغفرت
مغفرت کرے
کرے عجب
عجب آزاد
آزاد مرد
مرد تھا
قید حیات
حیات بند
بند غم
غم اصل
اصل میں
میں دونوں
دونوں ایک
ایک ہیں
موت سے
سے پہلے
پہلے آدمی
آدمی غم
غم سے
سے نجات
نجات پائے
پائے کیوں
مجھے اپنے
اپنے کردار
کردار پر
پر اتنا
اتنا تو
تو یقین
یقین ھے
ھے غالب
کوئی مجھے
مجھے چھوڑ
چھوڑ تو
تو سکتا
سکتا ہے
ہے مگر
مگر بھلا
بھلا نہیں
نہیں سکتا
وقت نِدا
نِدا ہے
ہے اضطراب
اضطراب میں
میں ہوں
ہوں کہ
کہ جان
جان کس
کس کو
کو دوں
دوں غالب
وہ بھی
بھی آبیٹھے
آبیٹھے ہیں
ہیں اور
اور موت
موت بھی
بھی آبیٹھی
آبیٹھی ہے
مجھے اپنے
اپنے کردار
کردار پر
پر اتنا
اتنا تو
تو یقین
یقین ہے
ہے غالب
کوئی مجھے
مجھے چھوڑ
چھوڑ تو
تو سکتا
سکتا ہے
ہے مگر
مگر بھلا
بھلا نہیں
نہیں سکتا
میرا قلم
قلم میرے
میرے جذبات
جذبات سے
سے واقف
واقف ہے
ہے اتنا
اتنا غالب
کہ میں
میں لفظ
لفظ محبت
محبت لکھوں
لکھوں تو
تو تیرا
تیرا نام
نام لکھا
لکھا جاتا
جاتا ہے
بس ختم
ختم کرو
کرو یہ
یہ بازیِ
بازیِ عشق
عشق غالب
مقدر کے
کے ہارے
ہارے کبھی
کبھی جیتا
جیتا نہیں
نہیں کرتے
نہیں سجدے
سجدے کئے
کئے ہم
ہم نے
نے کبھی
کبھی شاہوں
شاہوں کی
کی چوکھٹ
چوکھٹ پر
پر غالب
ہمیں جتنی
جتنی ضرورت
ضرورت ہو
ہو خدا
خدا سے
سے مانگ
مانگ لیتے
لیتے ہیں
وہ شخص
شخص اب
اب بھی
بھی رچا
رچا بسا
بسا ہے
ہے میری
میری سانسوں
سانسوں میں
میں غالب
ہاں یہ
یہ اور
اور بات
بات ہے
ہے میرے
میرے نصیب
نصیب میں
میں نہیں
محرم نہیں
نہیں ہے
ہے تو
تو ہی
ہی نواہائے
نواہائے راز
راز کا
یاں ورنہ
ورنہ جو
جو حجاب
حجاب ہے
ہے پردہ
پردہ ہے
ہے ساز
ساز کا
محبت کو
کو ہمیشہ
ہمیشہ مجبوریاں
مجبوریاں ہی
ہی لے
لے ڈوبتی
ڈوبتی ہیں
ہیں غالب
ورنہ کوئی
کوئی خوشی
خوشی سے
سے بے
بے وفا
وفا نہیں
نہیں ہوتا
ساتھ چلنے
چلنے کو
کو چلے
چلے تھے
تھے سبھی
سبھی دوست
دوست دشمن
میری منزل
منزل تک
تک کا
کا ساتھی
ساتھی صرف
صرف میرا
میرا سایہ
سایہ نکلا
موت کا
کا ایک
ایک وقت
وقت مقرر
مقرر ہے
پھر نیند
نیند کیوں
کیوں رات
رات بھر
بھر نہیں
نہیں آتی
وہ مل
مل جائے
جائے مجھے
مجھے تو
تو یوں
یوں سمجھوں
سمجھوں گا
گا غالب
جنت کا
کا اعلان
اعلان ہو
ہو جیسے
جیسے کسی
کسی گناہ
گناہ گار
گار کیلئے
دیدار کی
کی طلب
طلب ہو
ہو تو
تو نظریں
نظریں جمائے
جمائے رکھ
رکھ غالب
پردہ ہو
ہو یا
یا نقاب
نقاب سرکتا
سرکتا ضرور
ضرور ہے
مُدّت ہوئی
ہوئی ہے
ہے یار
یار کو
کو مہماں
مہماں کیے
کیے ہوئے
جوشِ قدح
قدح سے
سے بزمِ
بزمِ چراغاں
چراغاں کیے
کیے ہوئے
دل پھر
پھر طوافِ
طوافِ کوئے
کوئے ملامت
ملامت کو
کو جائے
جائے ہے
پندار کا
کا صنم
صنم کدہ
کدہ ویراں
ویراں کیے
کیے ہوئے
پھر شوق
شوق کر
کر رہا
رہا ہے
ہے خریدار
خریدار کی
کی طلب
عرضِ متاعِ
متاعِ عقل
عقل دل
دل جاں
جاں کیے
کیے ہوئے
مانگے ہے
ہے پھر
پھر کسی
کسی کو
کو لبِ
لبِ بام
بام پر
پر ہوس
زلفِ سیاہ
سیاہ رُخ
رُخ پہ
پہ پریشاں
پریشاں کیے
کیے ہوئے
پھر جی
جی میں
میں ہے
ہے کہ
کہ در
در پہ
پہ کسی
کسی کے
کے پڑے
پڑے رہیں
سر زیرِ
زیرِ بارِ
بارِ منت
منت درباں
درباں کیے
کیے ہوئے
جی ڈھونڈتا
ڈھونڈتا ہے
ہے پھر
پھر وہی
وہی فُرصت
فُرصت کے
کے رات
رات دن
بیٹھے رہیں
رہیں تصوّرِ
تصوّرِ جاناں
جاناں کیے
کیے ہوئے
غالب ہمیں
ہمیں نہ
نہ چھیڑ
چھیڑ کہ
کہ پھر
پھر جوشِ
جوشِ اشک
اشک سے
بیٹھے ہیں
ہیں ہم
ہم تہیّۂِ
تہیّۂِ طوفاں
طوفاں کیے
کیے ہوئے
کتنی عجیب
عجیب ہے
ہے نیکیوں
نیکیوں کی
کی جستجو
جستجو غالب
نماز بھی
بھی جلدی
جلدی پڑھتے
پڑھتے ہیں
ہیں پھر
پھر سے
سے گناہ
گناہ کرنے
کرنے کیلئے
دہر میں
میں نقشِ
نقشِ وفا
وفا وجہِ
وجہِ تسلی
تسلی نہ
نہ ہوا
ہے یہ
یہ وہ
وہ لفظ
لفظ کہ
کہ شرمندہٴ
شرمندہٴ معنی
معنی نہ
نہ ہوا
سبزہٴ خط
خط سے
سے ترا
ترا کاکلِ
کاکلِ سرکش
سرکش نہ
نہ دبا
یہ زمّرد
زمّرد بھی
بھی حریفِ
حریفِ دمِ
دمِ افعی
افعی نہ
نہ ہوا
میں نے
نے چاہا
چاہا تھا
تھا کہ
کہ اندوہِ
اندوہِ وفا
وفا سے
سے چھوٹوں
وہ ستمگر
ستمگر مرے
مرے مرنے
مرنے پہ
پہ بھی
بھی راضی
راضی نہ
نہ ہوا
دل گزر
گزر گاہِ
گاہِ خیالِ
خیالِ مے
مے ساغر
ساغر ہی
ہی سہی
گر نفس
نفس جادہٴ
جادہٴ سر
سر منزلِ
منزلِ تقویٰ
تقویٰ نہ
نہ ہوا
ہوں ترے
ترے وعدہ
وعدہ نہ
نہ کرنے
کرنے میں
میں بھی
بھی راضی
راضی کہ
کہ کبھی
گوش منت
منت کشِ
کشِ گلبانگِ
گلبانگِ تسلی
تسلی نہ
نہ ہوا
کس سے
سے محرومیٴ
محرومیٴ قسمت
قسمت کی
کی شکایت
شکایت کیجے
ہم نے
نے چاہا
چاہا تھا
تھا کہ
کہ مر
مر جائیں
جائیں سو
سو وہ
وہ بھی
بھی نہ
نہ ہوا
مرگیا صدمہٴ
صدمہٴ یک
یک جنبشِ
جنبشِ لب
لب سے
سے غالب
ناتوانی سے
سے حریفِ
حریفِ دمِ
دمِ عیسیٰ
عیسیٰ نہ
نہ ہوا
دھمکی میں
میں مر
مر گیا
گیا جو
جو نہ
نہ بابِ
بابِ نبرد
نبرد تھا
عشقِ نبرد
نبرد پیشہ
پیشہ طلبگارِ
طلبگارِ مرد
مرد تھا
تھا زندگی
زندگی میں
میں مرگ
مرگ کا
کا کھٹکا
کھٹکا لگا
لگا ہوا
اڑنے سے
سے پیشتر
پیشتر بھی
بھی مِرا
مِرا رنگ
رنگ زرد
زرد تھا
تالیف نسخہ
نسخہ ہائے
ہائے وفا
وفا کر
کر رہا
رہا تھا
تھا میں
مجموعہ خیال
خیال ابھی
ابھی فرد
فرد فرد
فرد تھا
دل تا
تا جگر
جگر کہ
کہ ساحل
ساحل دریائے
دریائے خوں
خوں ہے
ہے اب
اس رہگزر
رہگزر میں
میں جلوہ
جلوہ گل
گل آگے
آگے گرد
گرد تھا
جاتی ہے
ہے کوئی
کوئی کشمکش
کشمکش اندوہِ
اندوہِ عشق
عشق کی
دل بھی
بھی اگر
اگر گیا
گیا تو
تو وہی
وہی دل
دل کا
کا درد
درد تھا
احباب چارہ
چارہ سازی
سازی وحشت
وحشت نہ
نہ کرسکے
زنداں میں
میں بھی
بھی خیال
خیال بیاباں
بیاباں نورد
نورد تھا
یہ لاشِ
لاشِ بے
بے کفن
کفن اسدِ
اسدِ خستہ
خستہ جاں
جاں کی
کی ہے
حق مغفرت
مغفرت کرے
کرے عجب
عجب آزاد
آزاد مرد
مرد تھا
شوق ہر
ہر رنگ
رنگ رقیبِ
رقیبِ سروساماں
سروساماں نکلا
قیس تصویر
تصویر کے
کے پردے
پردے میں
میں بھی
بھی عریاں
عریاں نکلا
زخم نے
نے داد
داد نہ
نہ دی
دی تنگیٴ
تنگیٴ دل
دل کی
کی یارب
تیر بھی
بھی سینہٴ
سینہٴ بسمل
بسمل سے
سے پر
پر افشاں
افشاں نکلا
بوئے گل
گل نالٴہ
نالٴہ دل
دل دودِ
دودِ چراغِ
چراغِ محفل
جو تری
تری بزم
بزم سے
سے نکلا
نکلا سو
سو پریشاں
پریشاں نکلا
دلِ حسرت
حسرت زدہ
زدہ تھا
تھا مائدہٴ
مائدہٴ لذتِ
لذتِ درد
کام یاروں
یاروں کا
کا بہ
بہ قدرٕ
قدرٕ لب
لب دنداں
دنداں نکلا
اے نو
نو آموزِ
آموزِ فنا
فنا ہمتِِ
ہمتِِ دشوار
دشوار پسند
سخت مشکل
مشکل ہے
ہے کہ
کہ یہ
یہ کام
کام بھی
بھی آساں
آساں نکلا
دل میں
میں پھر
پھر گریے
گریے نے
نے اک
اک شور
شور اٹھایا
اٹھایا غالب
آہ جو
جو قطرہ
قطرہ نہ
نہ نکلا
نکلا تھا
تھا سو
سو طوفاں
طوفاں نکلا
قطرہٴ مے
مے بسکہ
بسکہ حیرت
حیرت سے
سے نفس
نفس پرور
پرور ہوا
خطِ جامِ
جامِ مے
مے سراسر
سراسر رشتہٴ
رشتہٴ گوہر
گوہر ہوا
اعتبارِ عشق
عشق کی
کی خانہ
خانہ خرابی
خرابی دیکھنا
غیر نے
نے کی
کی آہ
آہ لیکن
لیکن وہ
وہ خفا
خفا مجھ
مجھ پر
پر ہوا
گھر ہمارا
ہمارا جو
جو نہ
نہ روتے
روتے بھی
بھی تو
تو ویراں
ویراں ہوتا
بحر گر
گر بحر
بحر نہ
نہ ہوتا
ہوتا تو
تو بیاباں
بیاباں ہوتا
تنگی دل
دل کا
کا گلہ
گلہ کیا
کیا یہ
یہ وہ
وہ کافر
کافر دل
دل ہے
کہ اگر
اگر تنگ
تنگ نہ
نہ ہوتا
ہوتا تو
تو پریشاں
پریشاں ہوتا
بعد یک
یک عمرِ
عمرِ َوَرع
َوَرع بار
بار تو
تو دیتا
دیتا بار
کاش رِضواں
رِضواں ہی
ہی درِ
درِ یار
یار کا
کا درباں
درباں ہوتا
نہ تھا
تھا کچھ
کچھ تو
تو خدا
خدا تھا
تھا کچھ
کچھ نہ
نہ ہوتا
ہوتا تو
تو خدا
خدا ہوتا
ڈبویا مجھ
مجھ کو
کو ہونے
ہونے نے
نے نہ
نہ ہوتا
ہوتا میں
میں تو
تو کیا
کیا ہوتا
ہوا جب
جب غم
غم سے
سے یوں
یوں بے
بے حِس
حِس تو
تو غم
غم کیا
کیا سر
سر کے
کے کٹنے
کٹنے کا
نہ ہوتا
ہوتا گر
گر جدا
جدا تن
تن سے
سے تو
تو زانو
زانو پر
پر دھرا
دھرا ہوتا
ہوئی مدت
مدت کہ
کہ غالب
غالب مرگیا
مرگیا پر
پر یاد
یاد آتا
آتا ہے
وہ ہر
ہر اک
اک بات
بات پر
پر کہنا
کہنا کہ
کہ یوں
یوں ہوتا
ہوتا تو
تو کیا
کیا ہوتا
وہ میری
میری چینِ
چینِ جبیں
جبیں سے
سے غمِ
غمِ پنہاں
پنہاں سمجھا
رازِ مکتوب
مکتوب بہ
بہ بے
بے ربطیٴ
ربطیٴ عنواں
عنواں سمجھا
یک الِف
الِف بیش
بیش نہیں
نہیں صقیلِ
صقیلِ آئینہ
آئینہ ہنوز
چاک کرتا
کرتا ہوں
ہوں میں
میں جب
جب سے
سے کہ
کہ گریباں
گریباں سمجھا
شرحِ اسبابِ
اسبابِ گرفتاریٴ
گرفتاریٴ خاطر
خاطر مت
مت پوچھ
اس قدر
قدر تنگ
تنگ ہوا
ہوا دل
دل کہ
کہ میں
میں زنداں
زنداں سمجھا
بدگمانی نے
نے نہ
نہ چاہا
چاہا اسے
اسے سرگرم
سرگرم خرام
رخ پہ
پہ ہر
ہر قطرہ
قطرہ عرق
عرق دیدہٴ
دیدہٴ حیراں
حیراں سمجھا
عجزسے اپنے
اپنے یہ
یہ جانا
جانا کہ
کہ وہ
وہ بد
بد خو
خو ہوگا
نبضِ خس
خس سے
سے تپشِ
تپشِ شعلہٴ
شعلہٴ سوزاں
سوزاں سمجھا
سفرِ عشق
عشق میں
میں کی
کی ضعف
ضعف نے
نے راحت
راحت طلبی
ہر قدم
قدم سائے
سائے کو
کو میں
میں اپنے
اپنے شبستان
شبستان سمجھا
تھا گریزاں
گریزاں مژہٴ
مژہٴ یار
یار سے
سے دل
دل تا
تا دمِ
دمِ مرگ
دفعِ پیکانِ
پیکانِ قضا
قضا اِس
اِس قدر
قدر آساں
آساں سمجھا
دل دیا
دیا جان
جان کے
کے کیوں
کیوں اس
اس کو
کو وفادار
وفادار اسد
غلطی کی
کی کہ
کہ جو
جو کافر
کافر کو
کو مسلماں
مسلماں سمجھا
پھر مجھے
مجھے دیدہٴ
دیدہٴ تر
تر یاد
یاد آیا
دم لیا
لیا تھا
تھا نہ
نہ قیامت
قیامت نے
نے ہنوز
سادگی ہائے
ہائے تمنا
تمنا یعنی
عذر واماندگی
واماندگی اے
اے حسرتِ
حسرتِ دل
زندگی یوں
یوں بھی
بھی گزر
گزر ہی
ہی جاتی
کیا ہی
ہی رضواں
رضواں سے
سے لڑائی
لڑائی ہوگی
آہ وہ
وہ جرأت
جرأت فریاد
فریاد کہاں
پھر تیرے
تیرے کوچے
کوچے کو
کو جاتا
جاتا ہے
ہے خیال
کوئی ویرانی
ویرانی سی
سی ویرانی
ویرانی ہے
دل جگر
جگر تشنہٴ
تشنہٴ فریاد
فریاد آیا
پھر ترا
ترا وقتِ
وقتِ سفر
سفر یاد
یاد آیا
پھر وہ
وہ نیرنگِ
نیرنگِ نظر
نظر ياد
ياد آیا
نالہ کرتا
کرتا تھا
تھا جگر
جگر یاد
یاد آیا
کیوں ترا
ترا راھگزر
راھگزر یاد
یاد آیا
گھر ترا
ترا خلد
خلد میں
میں گر
گر یاد
یاد آیا
دل سے
سے تنگ
تنگ آکے
آکے جگر
جگر یاد
یاد آیا
دلِ گم
گم گشتہ
گشتہ مگر
مگر یاد
یاد آیا
دشت کو
کو دیکھ
دیکھ کے
کے گھر
گھر یاد
یاد آیا
میں نے
نے مجنوں
مجنوں پہ
پہ لڑکپن
لڑکپن میں
میں اسد
سنگ اٹھایا
اٹھایا تھا
تھا کہ
کہ سر
سر یاد
یاد آیا
کہتے ہو
ہو نہ
نہ دیں
دیں گے
گے ہم
ہم دل
دل اگر
اگر پڑا
پڑا پایا
دل کہاں
کہاں کہ
کہ گم
گم کیجے
کیجے ہم
ہم نے
نے مُدّعا
مُدّعا پایا
عشق سے
سے طبیعت
طبیعت نے
نے زیست
زیست کا
کا مزا
مزا پایا
درد کی
کی دوا
دوا پائی
پائی دردِ
دردِ بے
بے دوا
دوا پایا
دوستدارِ دشمن
دشمن ہے
ہے اعتمادِ
اعتمادِ دل
دل معلوم
آہ بے
بے اثر
اثر دیکھی
دیکھی نالہ
نالہ نارسا
نارسا پایا
سادگی پرکاری
پرکاری بیخودی
بیخودی ہشیاری
حسن کو
کو تغافل
تغافل میں
میں جرأت
جرأت آزما
آزما پایا
غنچہ پھر
پھر لگا
لگا کِھلنے
کِھلنے آج
آج ہم
ہم نے
نے اپنا
اپنا دل
خوں کیا
کیا ہوا
ہوا دیکھا
دیکھا گم
گم کیا
کیا ہوا
ہوا پایا
حالِ دل
دل نہیں
نہیں معلوم
معلوم لیکن
لیکن اس
اس قدر
قدر یعنی
ہم نے
نے بارہا
بارہا ڈھونڈا
ڈھونڈا تم
تم نے
نے بارہا
بارہا پایا
شورِ پندِ
پندِ ناصح
ناصح نے
نے زخم
زخم پر
پر نمک
نمک چھڑکا
آپ سے
سے کوئی
کوئی پوچھے
پوچھے تم
تم نے
نے کیا
کیا مزا
مزا پایا
درد مِنّت
مِنّت کشِ
کشِ دوا
دوا نہ
نہ ہوا
جمع کرتے
کرتے ہو
ہو کیوں
کیوں رقیبوں
رقیبوں کو
ہم کہاں
کہاں قسمت
قسمت آزمانے
آزمانے جائیں
کتنے شیریں
شیریں ہیں
ہیں تیرے
تیرے لب
لب کہ
کہ رقیب
ہے خبر
خبر گرم
گرم ان
ان کے
کے آنے
آنے کی
کیا وہ
وہ نمرود
نمرود کی
کی خدائی
خدائی تھی
جان دی
دی دی
دی ہوئی
ہوئی اسی
اسی کی
کی تھی
زخم گر
گر دب
دب گیا
گیا لہو
لہو نہ
نہ تھما
رہزنی ہے
ہے کہ
کہ دلستانی
